food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
B060300023,닭곰탕,R106-191040001-0000,10,대파,1000007015,3.38,33.8
B060300023,닭곰탕,R118-041010006-0000,0.075,후춧가루,1000520223,25.51111111,1.913333333
C090100122,오징어숙회,P112-010001000-0005,10,고추장,1000006560,9.54,95.4
C090100122,오징어숙회,R106-053002201-0000,1,마늘(다진것),1000006845,5.68,5.68
C090100122,오징어숙회,P109-802080200-0053,3.96,매실농축액,1000004473,4.233333333,16.764
C090100122,오징어숙회,R106-092000001-0000,25,브로콜리,1000007463,6.7,167.5
C090100122,오징어숙회,P113-101010100-0025,4.5,식초,1000743997,0.758,3.411
C090100122,오징어숙회,R211-667114001-0000,60,오징어,1000684811,11.14,668.4
C090100122,오징어숙회,R114-020000000-0000,1.5,참기름,1000697992,10.10555556,15.15833333
C090100122,오징어숙회,R105-026020058-0000,0.99,참깨(부순것),1000736517,1.43,1.4157
C120500020,감자채참치볶음,R102-001140001-0000,50,감자,1000152013,2.24,112
C120500020,감자채참치볶음,R318-020030000-0000,0.3,소금,1000736517,1.43,0.429
C120500020,감자채참치볶음,P107-101010100-0023,4,식용유,1000641822,2.588888889,10.35555556
C120500020,감자채참치볶음,R211-059014029-0000,20,참치(통조림),1000510867,9.281914894,185.6382979
C120500020,감자채참치볶음,R118-041010006-0000,0.075,후춧가루,1000520223,25.51111111,1.913333333
C150200044,미나리무침,R118-001030000-0000,3,국간장,1000453770,1.347692308,4.043076923
C150200044,미나리무침,R105-026020058-0000,1,깨소금,1000736517,1.43,1.43
C150200044,미나리무침,R106-191040001-0000,1,대파(다진것),1000007015,3.38,3.38
C150200044,미나리무침,R106-053002201-0000,2,마늘(다진것),1000006845,5.68,11.36
C150200044,미나리무침,R106-077030001-0000,60,미나리,1000006800,8.44,506.4
C150200044,미나리무침,R103-011020000-0000,1,백설탕,1000612561,1.438666667,1.438666667
C150200044,미나리무침,R318-020030000-0000,2,소금,1000736517,1.43,2.86
C150200044,미나리무침,R106-018008101-0000,0.5,실고추,1000006560,9.54,4.77
C150200044,미나리무침,R114-020000000-0000,2,참기름,1000697992,10.10555556,20.21111111
C170100001,배추김치,R106-004000001-0000,1,갓,1000006752,4.6,4.6
C170100001,배추김치,R118-007000006-0000,2,고춧가루,1000020371,5.514705882,11.02941176
C170100001,배추김치,R318-020000000-0000,0.3,굵은소금,1000736517,1.43,0.429
C170100001,배추김치,R318-020000000-0000,3,굵은소금(절임용),1000736517,1.43,4.29
C170100001,배추김치,R106-053002201-0000,1,마늘(다진것),1000006845,5.68,5.68
C170100001,배추김치,R211-105034077-0000,1,멸치액젓,1000741926,1.266666667,1.266666667
C170100001,배추김치,R106-065027601-0000,6,무,1000622538,2.06,12.36
C170100001,배추김치,R106-077030001-0000,5,미나리,1000006800,8.44,42.2
C170100001,배추김치,R106-087003401-0000,40,배추,1000622543,1.89,75.6
C170100001,배추김치,R103-011020000-0000,0.5,백설탕,1000612561,1.438666667,0.719333333
C170100001,배추김치,R211-717254071-0000,1,새우젓,1000642504,28.5,28.5
C170100001,배추김치,R106-101002501-0000,0.5,생강(다진것),1000702726,16.66666667,8.333333333
C170100001,배추김치,R106-191030001-0000,1,쪽파,1000007032,11.02,11.02
A010100001,쌀밥,R101-008000301-0000,90,백미,1000119514,2.6385,237.465
B050100040,공심채된장국,R106-024000001-0000,50,공심채(데친것),1000765403,23.26,1163
B050100040,공심채된장국,P112-009000900-0006,10,된장,1000730250,1.753571429,17.53571429
B050100040,공심채된장국,R209-040007301-0000,35,오리고기(살코기),1000008683,10.32,361.2
B050100040,공심채된장국,DB 없음,1.5,천연조미료가루,1000704787,25.4,38.1
B050100040,공심채된장국,R106-053002201-0000,2.5,마늘(다진것),1000006845,5.68,14.2
